Genome ID	P-P type	MinGenes cutoff	MinGenes hits	Signature to all genes ratio	P-P score sum	P-P type score sum	Composition	Composition size	Tolerance to gaps	Composition hits	Genome size (bp)	Number of proteins
NZ_CP038288	P11	49	67	0.657	58.2	57.4	P1_1_Composition_7	71	11	67	99810	102
NZ_CP038378	P11	49	67	0.65	58.1	57.3	P1_1_Composition_7	71	11	67	99810	103
NC_013370	P11	49	68	0.63	59	58.2	P1_1_Composition_7	71	11	68	97897	108
NZ_CP028125	P11	49	59	0.656	50.7	50	P1_1_Composition_40	70	11	59	98899	90
NZ_CP031351	P11	49	68	0.673	59.1	58.3	P1_1_Composition_7	71	11	70	96355	101
NZ_CP057563	P11	49	71	0.67	61.6	60.8	P1_1_Composition_7	71	11	71	95926	106
NZ_CP057567	P11	49	71	0.67	61.6	60.8	P1_1_Composition_7	71	11	71	95926	106
NC_042128	P11	49	70	0.565	60.6	59.8	P1_1_Composition_7	71	11	70	115154	124
NC_050153	P11	49	56	0.651	50.3	49.9	P1_1_Composition_112	57	11	57	80732	86
NZ_CP057359	P11	49	67	0.72	58	57.4	P1_1_Composition_7	71	11	68	100338	93
NZ_CP020522	P11	49	70	0.737	60.6	59.8	P1_1_Composition_7	71	11	70	95146	95
NC_017653	P11	49	70	0.686	60.8	60	P1_1_Composition_7	71	11	71	94015	102
NZ_CP030188	P11	49	70	0.673	60.9	60.1	P1_1_Composition_7	71	11	71	93719	104
NC_005856	P11	49	70	0.636	60.6	59.8	P1_1_Composition_7	71	11	70	94800	110
NZ_CP034163	P11	49	64	0.634	55.3	54.7	P1_1_Composition_7	71	11	64	95683	101
NZ_CP010146	P11	49	44	0.454	36.5	36.1	P1_1_Composition_26	43	11	33	112874	97
NZ_CP010173	P11	49	69	0.663	60.1	59.3	P1_1_Composition_7	71	11	71	94395	104
NZ_CP034959	P11	49	69	0.821	59.8	59	P1_1_Composition_7	71	11	69	90842	84
NZ_CP023896	P11	49	65	0.823	55.9	55.2	P1_1_Composition_7	71	11	65	83988	79
NZ_CP029103	P11	49	69	0.821	59.8	59	P1_1_Composition_7	71	11	69	89643	84
NZ_CP031654	P11	49	69	0.821	59.8	59	P1_1_Composition_7	71	11	69	89643	84
NZ_CP059910	P11	49	66	0.653	57	56.2	P1_1_Composition_7	71	11	67	99361	101
NZ_LR883966	P11	49	48	0.571	39.8	39.3	P1_1_Composition_26	43	11	35	104732	84
NZ_CP026725	P11	49	70	0.66	60.6	59.8	P1_1_Composition_7	71	11	70	97124	106
NZ_CP048823	P11	49	60	0.594	51.7	51.2	P1_1_Composition_7	71	11	62	115329	101
NC_031129	P11	49	67	0.549	57.8	57	P1_1_Composition_7	71	11	69	103445	122
NZ_CP030183	P11	49	68	0.694	59.4	58.6	P1_1_Composition_7	71	11	70	94179	98
NZ_CP031191	P11	49	67	0.67	58.2	57.4	P1_1_Composition_7	71	11	67	103441	100
NZ_CP019188	P11	49	70	0.66	60.6	59.8	P1_1_Composition_7	71	11	70	95279	106
NZ_CP034821	P11	49	66	0.437	57.2	56.4	P1_1_Composition_7	71	11	66	146389	151
NZ_CP064676	P11	49	69	0.67	59.6	58.8	P1_1_Composition_7	71	11	69	103445	103
NZ_CP064673	P11	49	69	0.683	59.6	58.8	P1_1_Composition_7	71	11	69	103445	101
NZ_CP022733	P11	49	70	0.636	60.9	60.1	P1_1_Composition_7	71	11	70	96658	110
NZ_CP009051	P11	49	71	0.689	61.6	60.8	P1_1_Composition_7	71	11	71	97258	103
NZ_CP009168	P11	49	70	0.642	60.9	60.1	P1_1_Composition_7	71	11	71	94959	109
NZ_CP026938	P11	49	66	0.68	57	56.4	P1_1_Composition_7	71	11	67	99789	97
NZ_CP062890	P11	49	69	0.742	60.1	59.3	P1_1_Composition_7	71	11	71	89847	93
NZ_CP034164	P11	49	61	0.67	53.3	52.7	P1_1_Composition_7	71	11	61	96264	91
NZ_CP047090	P11	49	67	0.698	58.2	57.6	P1_1_Composition_7	71	11	67	96320	96
NZ_CP016549	P11	49	61	0.55	52.7	52.1	P1_1_Composition_7	71	11	64	126046	111
NZ_CP062860	P11	49	69	0.775	59.7	59.1	P1_1_Composition_7	71	11	70	97512	89
NZ_CP062905	P11	49	68	0.773	59.3	58.7	P1_1_Composition_7	71	11	69	97516	88
NZ_CP069570	P11	49	68	0.694	58.8	58	P1_1_Composition_7	71	11	69	90593	98
NZ_CP041630	P11	49	67	0.736	58.2	57.6	P1_1_Composition_7	71	11	69	92595	91
NZ_CP023732	P11	49	64	0.66	54.8	54	P1_1_Composition_7	71	11	65	93276	97
NZ_CP055677	P11	49	70	0.68	60.7	59.8	P1_1_Composition_7	71	11	70	94009	103
NZ_CP058059	P11	49	67	0.753	58	57.4	P1_1_Composition_7	71	11	67	94718	89
NZ_CP012491	P11	49	71	0.628	61.6	60.8	P1_1_Composition_7	71	11	71	95721	113
NZ_CP021729	P11	49	67	0.626	58.1	57.3	P1_1_Composition_7	71	11	69	114968	107
NZ_LR890336	P11	49	69	0.683	59.7	59.1	P1_1_Composition_7	71	11	69	98796	101
NZ_CP061756	P11	49	38	0.396	31.1	30.7	NA	NA	NA	NA	115966	96
NC_050152	P11	49	66	0.584	57.2	56.5	P1_1_Composition_7	71	11	69	101660	113
NZ_CP057105	P11	49	61	0.685	52.1	51.5	P1_1_Composition_7	71	11	61	97856	89
NZ_CP026475	P11	49	70	0.693	60.6	59.8	P1_1_Composition_7	71	11	70	104701	101
NZ_CP035313	P11	49	67	0.705	58	57.3	P1_1_Composition_7	71	11	67	96320	95
NZ_CP030784	P11	49	65	0.625	56.2	55.6	P1_1_Composition_7	71	11	65	100347	104
NZ_CP037905	P11	49	69	0.67	59.7	58.9	P1_1_Composition_7	71	11	69	98254	103
NZ_CP055600	P11	49	58	0.532	49.6	49.1	P1_1_Composition_40	70	11	59	113051	109
NZ_CP063350	P11	49	64	0.571	55.2	54.5	P1_1_Composition_7	71	11	66	121017	112
NZ_CP021336	P11	49	64	0.627	54.9	54.2	P1_1_Composition_7	71	11	65	86922	102
NZ_CP021340	P11	49	64	0.634	54.9	54.2	P1_1_Composition_7	71	11	65	86917	101
NZ_CP057246	P11	49	65	0.663	56.2	55.4	P1_1_Composition_7	71	11	65	91854	98
NZ_CP020936	P11	49	41	0.621	33.8	33.3	NA	NA	NA	NA	64749	66
NZ_CP060066	P11	49	31	0.31	24	23.6	NA	NA	NA	NA	148192	100
NZ_CP017632	P11	49	66	0.182	57.2	56.4	P1_1_Composition_7	71	11	66	369298	363
NZ_CP046005	P11	49	65	0.722	55.9	55.3	P1_1_Composition_7	71	11	65	95543	90
NZ_CP062833	P11	49	63	0.573	54.5	53.8	P1_1_Composition_7	71	11	63	109181	110
NZ_CP062896	P11	49	61	0.565	53	52.3	P1_1_Composition_7	71	11	61	108020	108
NZ_CP026237	P11	49	3	0.016	2.3	2.2	NA	NA	NA	NA	235027	188
NZ_CP047574	P11	49	4	0.091	3	3	NA	NA	NA	NA	64451	44
NZ_AP022258	P11	49	3	0.045	2.3	2.2	NA	NA	NA	NA	72104	67
NZ_CP053046	P11	49	63	0.568	54.5	53.9	P1_1_Composition_7	71	11	64	130643	111
NZ_CP033251	P11	49	26	0.234	19.2	18.8	NA	NA	NA	NA	164062	111
NZ_CP034590	P11	49	24	0.276	17.5	17.2	NA	NA	NA	NA	145704	87
NZ_LR890727	P11	49	8	0.08	6.1	6	NA	NA	NA	NA	125521	100
NZ_CP010154	P11	49	5	0.086	3.8	3.7	NA	NA	NA	NA	78557	58
NZ_CP059289	P11	49	4	0.055	3	3	NA	NA	NA	NA	99778	73
NZ_CP033095	P11	49	4	0.054	3.1	3	NA	NA	NA	NA	92168	74
NZ_CP031232	P11	49	40	0.769	32.2	31.5	NA	NA	NA	NA	54776	52
NZ_CP063469	P11	49	25	0.275	18.5	18.2	NA	NA	NA	NA	129986	91
NZ_CP030285	P11	49	26	0.338	19.2	18.7	NA	NA	NA	NA	92978	77
NZ_CP010243	P11	49	20	0.211	15.1	15	NA	NA	NA	NA	131504	95
NZ_CP044294	P11	49	16	0.246	12.1	11.9	NA	NA	NA	NA	97529	65
NZ_CP063477	P11	49	19	0.238	14.5	14.3	NA	NA	NA	NA	113297	80
NZ_CP029493	P11	49	23	0.187	17.1	16.9	NA	NA	NA	NA	179444	123
NZ_CP029688	P11	49	23	0.223	17.2	16.8	NA	NA	NA	NA	151879	103
NZ_AP023428	P11	49	23	0.284	16.8	16.5	NA	NA	NA	NA	120829	81
NZ_CP010234	P11	49	17	0.262	11.8	11.6	NA	NA	NA	NA	117266	65
NZ_CP061751	P11	49	23	0.299	16.6	16.3	NA	NA	NA	NA	96198	77
NZ_CP057257	P11	49	66	0.717	57	56.4	P1_1_Composition_7	71	11	66	96234	92
NZ_CP029181	P11	49	27	0.29	20	19.7	NA	NA	NA	NA	145524	93
NZ_CP068592	P11	49	22	0.265	16.1	15.7	NA	NA	NA	NA	122138	83
NZ_CP070027	P11	49	24	0.338	17.4	17.1	NA	NA	NA	NA	110044	71
NZ_CP070907	P11	49	31	0.279	23.7	23.1	NA	NA	NA	NA	142545	111
NZ_CP070923	P11	49	21	0.344	14.9	14.7	NA	NA	NA	NA	102703	61
NZ_LR130553	P11	49	25	0.269	18.4	18.2	NA	NA	NA	NA	123043	93
NZ_CP063502	P11	49	21	0.28	15.5	15.1	NA	NA	NA	NA	89721	75
NZ_CP069970	P11	49	19	0.633	14.6	14.3	NA	NA	NA	NA	39407	30
NZ_CP019262	P11	49	23	0.213	17.5	17.3	NA	NA	NA	NA	149653	108
NZ_LT883139	P11	49	26	0.325	20.2	19.8	NA	NA	NA	NA	118720	80
NZ_CP019216	P11	49	23	0.442	16.6	16.3	NA	NA	NA	NA	78444	52
NZ_CP021842	P11	49	22	0.373	15.7	15.5	NA	NA	NA	NA	92385	59
NZ_CP021846	P11	49	23	0.377	16.6	16.3	NA	NA	NA	NA	92350	61
NZ_CP029244	P11	49	21	0.202	15.8	15.6	NA	NA	NA	NA	139629	104
NZ_CP033379	P11	49	24	0.189	17.4	17.1	NA	NA	NA	NA	167170	127
NZ_CP050045	P11	49	23	0.315	16.6	16.4	NA	NA	NA	NA	112291	73
NZ_CP063488	P11	49	23	0.185	16.7	16.4	NA	NA	NA	NA	172246	124
NZ_CP032890	P11	49	28	0.337	21.7	21.3	NA	NA	NA	NA	91014	83
NZ_CP048027	P11	49	28	0.364	21.7	21.3	NA	NA	NA	NA	88706	77
NZ_CP034789	P11	49	19	0.188	13.4	13.2	NA	NA	NA	NA	159108	101
NZ_CP060750	P11	49	17	0.136	12.4	12.1	NA	NA	NA	NA	129702	125
NZ_CP036204	P11	49	11	0.234	7.6	7.3	NA	NA	NA	NA	65959	47
NZ_CP070916	P11	49	21	0.344	15.1	14.9	NA	NA	NA	NA	106065	61
NZ_CP032239	P11	49	18	0.161	13.5	13.3	NA	NA	NA	NA	159756	112
NZ_CP010179	P11	49	23	0.232	17.7	17.4	NA	NA	NA	NA	116417	99
NZ_CP021734	P11	49	2	0.025	1.5	1.5	NA	NA	NA	NA	85195	79
NC_050154	P11	49	5	0.042	3.2	2.8	NA	NA	NA	NA	91159	118
NZ_CP011430	P11	49	5	0.047	3.2	2.8	NA	NA	NA	NA	88949	107
NZ_CP032497	P11	49	5	0.054	3.2	2.8	NA	NA	NA	NA	74729	92
NZ_CP035549	P11	49	5	0.05	3.2	2.8	NA	NA	NA	NA	88898	100
NZ_CP053050	P11	49	1	0.018	0.8	0.8	NA	NA	NA	NA	54008	57
NZ_CP027309	P11	49	5	0.049	3.2	2.8	NA	NA	NA	NA	93724	103
NZ_AP022217	P11	49	5	0.046	3.2	2.8	NA	NA	NA	NA	92332	109
NZ_CP031917	P11	49	4	0.069	2.7	2.3	NA	NA	NA	NA	95228	58
NZ_CP028198	P11	49	4	0.037	2.7	2.3	NA	NA	NA	NA	92366	108
NZ_AP018804	P11	49	4	0.038	2.7	2.3	NA	NA	NA	NA	92925	106
NZ_CP066033	P11	49	5	0.048	3.2	2.8	NA	NA	NA	NA	97453	104
NZ_CP032492	P11	49	5	0.047	3.2	2.8	NA	NA	NA	NA	90686	107
NZ_CP058619	P11	49	4	0.038	2.7	2.3	NA	NA	NA	NA	91318	104
NZ_CP029365	P11	49	4	0.04	2.7	2.3	NA	NA	NA	NA	89248	99
NZ_CP058654	P11	49	4	0.04	2.7	2.3	NA	NA	NA	NA	89623	99
NZ_CP058659	P11	49	4	0.04	2.7	2.3	NA	NA	NA	NA	89623	100
NZ_CP020051	P11	49	3	0.03	2.2	1.9	NA	NA	NA	NA	91291	99
NZ_CP021720	P11	49	3	0.014	2.2	1.9	NA	NA	NA	NA	216378	220
NZ_CP047663	P11	49	4	0.039	2.7	2.3	NA	NA	NA	NA	90674	103
NZ_CP061103	P11	49	4	0.038	2.7	2.3	NA	NA	NA	NA	92656	106
NZ_CP021537	P11	49	4	0.037	2.7	2.3	NA	NA	NA	NA	97474	109
NZ_CP019263	P11	49	3	0.231	2.4	2.4	NA	NA	NA	NA	24727	13
NZ_CP027129	P11	49	3	0.5	2.9	2.9	NA	NA	NA	NA	5193	6
NZ_CP010131	P11	49	2	0.047	1.2	1.1	NA	NA	NA	NA	56460	43
NZ_CP041112	P11	49	1	0.012	0.7	0.7	NA	NA	NA	NA	87516	82
NZ_CP040928	P11	49	1	0.007	0.7	0.7	NA	NA	NA	NA	163111	142
NZ_CP050069	P11	49	1	0.012	0.7	0.7	NA	NA	NA	NA	88962	85
NZ_CP032875	P11	49	3	0.026	1.8	1.6	NA	NA	NA	NA	92538	114
NZ_CP022228	P11	49	3	0.026	1.8	1.6	NA	NA	NA	NA	92538	114
NZ_CP028585	P11	49	3	0.026	1.8	1.6	NA	NA	NA	NA	92537	115
NZ_LR882992	P11	49	1	0.008	0.9	0.7	NA	NA	NA	NA	109318	122
NZ_CP010882	P11	49	3	0.026	1.4	1.3	NA	NA	NA	NA	122966	115
NZ_CP014498	P11	49	3	0.016	1.4	1.3	NA	NA	NA	NA	209768	185
NZ_CP015140	P11	49	3	0.025	1.4	1.3	NA	NA	NA	NA	129154	119
NZ_CP015070	P11	49	3	0.029	1.4	1.3	NA	NA	NA	NA	111851	104
NZ_CP015914	P11	49	3	0.027	1.4	1.3	NA	NA	NA	NA	129035	112
NZ_CP018105	P11	49	3	0.055	1.4	1.3	NA	NA	NA	NA	67946	55
NZ_CP018117	P11	49	3	0.055	1.4	1.3	NA	NA	NA	NA	67946	55
NZ_CP018123	P11	49	3	0.055	1.4	1.3	NA	NA	NA	NA	67946	55
NZ_CP018111	P11	49	3	0.055	1.4	1.3	NA	NA	NA	NA	67946	55
NZ_CP018207	P11	49	3	0.033	1.4	1.3	NA	NA	NA	NA	113140	90
NZ_CP018947	P11	49	3	0.022	1.4	1.3	NA	NA	NA	NA	143972	137
NZ_CP018952	P11	49	3	0.024	1.4	1.3	NA	NA	NA	NA	132345	126
NZ_CP018969	P11	49	3	0.037	1.4	1.3	NA	NA	NA	NA	82364	82
NZ_CP018982	P11	49	3	0.033	1.4	1.3	NA	NA	NA	NA	100168	92
NZ_CP019028	P11	49	3	0.021	1.4	1.3	NA	NA	NA	NA	147346	140
NZ_CP018998	P11	49	3	0.03	1.4	1.3	NA	NA	NA	NA	99006	101
NZ_CP019009	P11	49	3	0.023	1.4	1.3	NA	NA	NA	NA	130905	130
NZ_CP020117	P11	49	3	0.028	1.4	1.3	NA	NA	NA	NA	107210	106
NZ_CP021180	P11	49	3	0.024	1.4	1.3	NA	NA	NA	NA	135720	127
NZ_CP034956	P11	49	3	0.034	1.4	1.3	NA	NA	NA	NA	98397	88
NZ_CP021690	P11	49	3	0.02	1.4	1.3	NA	NA	NA	NA	163045	147
NZ_CP021871	P11	49	3	0.024	1.4	1.3	NA	NA	NA	NA	134899	126
NZ_CP023816	P11	49	3	0.022	1.4	1.3	NA	NA	NA	NA	145883	138
NZ_CP024831	P11	49	3	0.015	1.4	1.3	NA	NA	NA	NA	216181	201
NZ_CP024816	P11	49	3	0.017	1.4	1.3	NA	NA	NA	NA	176274	175
NZ_CP024863	P11	49	3	0.023	1.4	1.3	NA	NA	NA	NA	139059	128
NZ_CP024805	P11	49	3	0.03	1.4	1.3	NA	NA	NA	NA	111310	100
NZ_CP025708	P11	49	3	0.015	1.4	1.3	NA	NA	NA	NA	184098	196
NZ_CP026474	P11	49	3	0.032	1.4	1.3	NA	NA	NA	NA	107229	94
NZ_CP027537	P11	49	3	0.029	1.4	1.3	NA	NA	NA	NA	100279	102
NZ_CP020519	P11	49	3	0.029	1.4	1.3	NA	NA	NA	NA	120667	104
NZ_CP028576	P11	49	3	0.026	1.4	1.3	NA	NA	NA	NA	112422	114
NZ_CP029580	P11	49	3	0.018	1.4	1.3	NA	NA	NA	NA	178078	171
NZ_CP028484	P11	49	3	0.026	1.4	1.3	NA	NA	NA	NA	128911	117
NZ_CP031137	P11	49	3	0.043	1.4	1.3	NA	NA	NA	NA	77958	69
NZ_CP032202	P11	49	3	0.023	1.4	1.3	NA	NA	NA	NA	140509	132
NZ_CP032258	P11	49	3	0.025	1.4	1.3	NA	NA	NA	NA	128033	120
NZ_CP033400	P11	49	3	0.036	1.4	1.3	NA	NA	NA	NA	91652	83
NZ_CP033847	P11	49	3	0.022	1.4	1.3	NA	NA	NA	NA	143865	135
NZ_CP023854	P11	49	3	0.022	1.4	1.3	NA	NA	NA	NA	135053	134
NZ_CP023827	P11	49	3	0.024	1.4	1.3	NA	NA	NA	NA	125877	124
NZ_CP023845	P11	49	3	0.017	1.4	1.3	NA	NA	NA	NA	181324	174
NZ_CP035478	P11	49	3	0.021	1.4	1.3	NA	NA	NA	NA	149312	143
NZ_CP034396	P11	49	3	0.024	1.4	1.3	NA	NA	NA	NA	134635	126
NZ_CP034401	P11	49	3	0.023	1.4	1.3	NA	NA	NA	NA	134611	128
NZ_CP035517	P11	49	3	0.021	1.4	1.3	NA	NA	NA	NA	149317	144
NZ_CP035468	P11	49	3	0.02	1.4	1.3	NA	NA	NA	NA	151747	147
NZ_CP036244	P11	49	3	0.02	1.4	1.3	NA	NA	NA	NA	146792	147
NZ_CP020496	P11	49	3	0.029	1.4	1.3	NA	NA	NA	NA	120668	104
NZ_CP040398	P11	49	3	0.038	1.4	1.3	NA	NA	NA	NA	98470	79
NZ_CP029422	P11	49	3	0.035	1.4	1.3	NA	NA	NA	NA	89323	85
NZ_CP045279	P11	49	3	0.042	1.4	1.3	NA	NA	NA	NA	82182	72
NZ_CP041338	P11	49	3	0.019	1.4	1.3	NA	NA	NA	NA	161372	155
NZ_CP048345	P11	49	3	0.039	1.4	1.3	NA	NA	NA	NA	97111	77
NZ_CP048377	P11	49	3	0.045	1.4	1.3	NA	NA	NA	NA	86996	67
NZ_CP043407	P11	49	3	0.023	1.4	1.3	NA	NA	NA	NA	122112	131
NZ_CP047406	P11	49	3	0.022	1.4	1.3	NA	NA	NA	NA	142890	138
NZ_CP054941	P11	49	3	0.021	1.4	1.3	NA	NA	NA	NA	142890	141
NZ_CP054220	P11	49	3	0.024	1.4	1.3	NA	NA	NA	NA	128954	123
NZ_CP054237	P11	49	3	0.023	1.4	1.3	NA	NA	NA	NA	131660	129
NZ_AP023225	P11	49	3	0.031	1.4	1.3	NA	NA	NA	NA	108281	97
NZ_AP023238	P11	49	3	0.033	1.4	1.3	NA	NA	NA	NA	93649	91
NZ_CP050041	P11	49	3	0.041	1.4	1.3	NA	NA	NA	NA	89748	74
NZ_AP021999	P11	49	3	0.033	1.4	1.3	NA	NA	NA	NA	105864	92
NZ_AP022033	P11	49	3	0.033	1.4	1.3	NA	NA	NA	NA	105867	92
NZ_AP022045	P11	49	3	0.021	1.4	1.3	NA	NA	NA	NA	148598	145
NZ_AP022065	P11	49	3	0.024	1.4	1.3	NA	NA	NA	NA	134864	127
NZ_AP022178	P11	49	3	0.031	1.4	1.3	NA	NA	NA	NA	123262	96
NZ_CP058620	P11	49	3	0.048	1.4	1.3	NA	NA	NA	NA	67321	62
NZ_AP022535	P11	49	3	0.029	1.4	1.3	NA	NA	NA	NA	101966	103
NZ_AP022550	P11	49	3	0.032	1.4	1.3	NA	NA	NA	NA	88121	94
NZ_CP048011	P11	49	3	0.045	1.4	1.3	NA	NA	NA	NA	76937	67
NZ_CP069455	P11	49	3	0.1	1.4	1.3	NA	NA	NA	NA	34826	30
NZ_CP069560	P11	49	3	0.048	1.4	1.3	NA	NA	NA	NA	67959	62
NZ_CP069974	P11	49	3	0.024	1.4	1.3	NA	NA	NA	NA	136429	126
NZ_CP069982	P11	49	3	0.026	1.4	1.3	NA	NA	NA	NA	116491	116
NZ_CP070008	P11	49	3	0.017	1.4	1.3	NA	NA	NA	NA	198318	178
NZ_CP063333	P11	49	3	0.035	1.4	1.3	NA	NA	NA	NA	109936	85
NZ_CP063343	P11	49	3	0.027	1.4	1.3	NA	NA	NA	NA	117739	111
NZ_CP063516	P11	49	3	0.021	1.4	1.3	NA	NA	NA	NA	149434	142
NZ_LS992169	P11	49	3	0.019	1.4	1.3	NA	NA	NA	NA	172923	159
NZ_LS992186	P11	49	3	0.022	1.4	1.3	NA	NA	NA	NA	164477	138
NZ_LR595692	P11	49	3	0.034	1.4	1.3	NA	NA	NA	NA	98473	87
NZ_LR882051	P11	49	3	0.037	1.4	1.3	NA	NA	NA	NA	94955	81
NZ_LR890300	P11	49	3	0.019	1.4	1.3	NA	NA	NA	NA	160467	155
NZ_LR890467	P11	49	3	0.019	1.4	1.3	NA	NA	NA	NA	160530	155
NZ_LR890607	P11	49	3	0.026	1.4	1.3	NA	NA	NA	NA	126618	116
NZ_LR890694	P11	49	3	0.026	1.4	1.3	NA	NA	NA	NA	112822	115
NZ_CP051610	P11	49	3	0.03	1.4	1.3	NA	NA	NA	NA	113351	101
NZ_CP051616	P11	49	3	0.024	1.4	1.3	NA	NA	NA	NA	134872	127
NZ_CP063775	P11	49	3	0.059	1.4	1.3	NA	NA	NA	NA	58468	51
NZ_AP022327	P11	49	3	0.023	1.4	1.3	NA	NA	NA	NA	139450	133
NZ_CP024039	P11	49	3	0.025	1.4	1.3	NA	NA	NA	NA	125285	118
NZ_LR890563	P11	49	3	0.02	1.4	1.3	NA	NA	NA	NA	159592	150
NZ_LR882053	P11	49	3	0.027	1.4	1.3	NA	NA	NA	NA	113096	113
NZ_LR890273	P11	49	2	0.018	0.9	0.8	NA	NA	NA	NA	92830	110
NZ_CP056699	P11	49	2	0.019	0.9	0.8	NA	NA	NA	NA	94137	105
NZ_CP040070	P11	49	2	0.029	0.9	0.9	NA	NA	NA	NA	82718	70
NZ_CP029860	P11	49	1	0.013	0.4	0.4	NA	NA	NA	NA	91891	79
NZ_CP029869	P11	49	1	0.013	0.4	0.4	NA	NA	NA	NA	91891	79
NZ_CP029871	P11	49	1	0.013	0.4	0.4	NA	NA	NA	NA	91848	79
NZ_CP029874	P11	49	1	0.013	0.4	0.4	NA	NA	NA	NA	91892	79
NZ_CP029912	P11	49	1	0.013	0.4	0.4	NA	NA	NA	NA	91848	79
NZ_CP029963	P11	49	1	0.013	0.4	0.4	NA	NA	NA	NA	93445	80
NZ_CP029965	P11	49	1	0.013	0.4	0.4	NA	NA	NA	NA	91848	79
NZ_CP012683	P11	49	1	0.01	0.4	0.4	NA	NA	NA	NA	112639	99
NZ_CP026578	P11	49	1	0.011	0.4	0.4	NA	NA	NA	NA	121908	89
NZ_CP020051	P12	46	78	0.788	72.6	69.3	P1_2_Composition_1	80	17	80	91291	99
NZ_CP021537	P12	46	80	0.734	74.7	71.3	P1_2_Composition_5	82	17	82	97474	109
NZ_CP021720	P12	46	79	0.359	73.6	70.2	P1_2_Composition_1	80	17	80	216378	220
NZ_CP027309	P12	46	75	0.728	69.9	67.2	P1_2_Composition_13	81	17	76	93724	103
NZ_AP022217	P12	46	79	0.725	73.8	71	P1_2_Composition_13	81	17	81	92332	109
NZ_CP066033	P12	46	75	0.721	70.1	67.5	P1_2_Composition_25	81	17	77	97453	104
NZ_CP011430	P12	46	78	0.729	72.9	70.1	P1_2_Composition_13	81	17	80	88949	107
NZ_CP032492	P12	46	78	0.729	72.9	70.3	P1_2_Composition_22	80	17	80	90686	107
NZ_CP032497	P12	46	69	0.75	64.2	61.8	P1_2_Composition_13	81	17	71	74729	92
NZ_CP035549	P12	46	77	0.77	71.9	69.2	P1_2_Composition_13	81	17	79	88898	100
NZ_CP029365	P12	46	78	0.788	72.9	69.6	P1_2_Composition_16	82	17	80	89248	99
NZ_CP058654	P12	46	79	0.798	73.8	70.5	P1_2_Composition_16	82	17	81	89623	99
NZ_CP058659	P12	46	78	0.78	72.9	69.6	P1_2_Composition_12	81	17	81	89623	100
NZ_CP058619	P12	46	81	0.779	75.8	72.4	P1_2_Composition_14	82	17	82	91318	104
NZ_AP018804	P12	46	76	0.717	70.9	68.2	P1_2_Composition_13	81	17	78	92925	106
NZ_CP047663	P12	46	79	0.767	73.7	70.3	P1_2_Composition_10	80	17	80	90674	103
NZ_CP069886	P12	46	77	0.713	73.5	70.3	P1_2_Composition_17	79	17	79	91616	108
NZ_CP028198	P12	46	79	0.731	73.9	71.2	P1_2_Composition_25	81	17	81	92366	108
NC_050154	P12	46	80	0.678	74.8	71.9	P1_2_Composition_13	81	17	81	91159	118
NZ_CP061103	P12	46	82	0.774	76.6	73.3	P1_2_Composition_16	82	17	82	92656	106
NZ_CP034790	P12	46	72	0.72	68.8	65.7	P1_2_Composition_17	79	17	76	91762	100
NZ_CP032875	P12	46	80	0.702	74.7	71.4	P1_2_Composition_2	82	17	82	92538	114
NZ_CP022228	P12	46	80	0.702	74.7	71.4	P1_2_Composition_2	82	17	82	92538	114
NZ_CP028585	P12	46	79	0.687	73.8	70.5	P1_2_Composition_2	82	17	81	92537	115
NZ_CP069884	P12	46	16	0.762	15.4	14.6	NA	NA	NA	NA	23235	21
NZ_CP044179	P12	46	26	0.743	25.1	24.4	NA	NA	NA	NA	35315	35
NZ_CP056699	P12	46	57	0.543	52.9	51.2	P1_2_Composition_16	82	17	73	94137	105
NZ_LR890273	P12	46	60	0.545	55.6	52.7	P1_2_Composition_18	77	17	77	92830	110
NZ_CP027382	P12	46	24	0.923	23.1	22.6	NA	NA	NA	NA	36491	26
NZ_CP031917	P12	46	35	0.603	31.7	29.3	NA	NA	NA	NA	95228	58
NZ_CP010131	P12	46	3	0.07	1	0.9	NA	NA	NA	NA	56460	43
NZ_CP029860	P12	46	3	0.038	1	0.9	NA	NA	NA	NA	91891	79
NZ_CP029869	P12	46	3	0.038	1	0.9	NA	NA	NA	NA	91891	79
NZ_CP029871	P12	46	3	0.038	1	0.9	NA	NA	NA	NA	91848	79
NZ_CP029874	P12	46	3	0.038	1	0.9	NA	NA	NA	NA	91892	79
NZ_CP029912	P12	46	3	0.038	1	0.9	NA	NA	NA	NA	91848	79
NZ_CP029963	P12	46	3	0.038	1	0.9	NA	NA	NA	NA	93445	80
NZ_CP029965	P12	46	3	0.038	1	0.9	NA	NA	NA	NA	91848	79
NZ_CP041922	P12	46	2	0.022	0.9	0.3	NA	NA	NA	NA	96668	89
NZ_CP063155	P12	46	3	0.028	1.8	0.8	NA	NA	NA	NA	96139	106
NZ_LR882054	P12	46	2	0.023	0.9	0.3	NA	NA	NA	NA	87822	88
NZ_CP031351	P12	46	3	0.03	1	0.4	NA	NA	NA	NA	96355	101
NZ_CP013030	P12	46	4	0.036	1.9	0.9	NA	NA	NA	NA	97704	110
NZ_CP012491	P12	46	4	0.035	1.9	0.9	NA	NA	NA	NA	95721	113
NZ_CP027443	P12	46	4	0.04	1.9	0.9	NA	NA	NA	NA	95157	100
NZ_CP063502	P12	46	3	0.04	1	0.4	NA	NA	NA	NA	89721	75
