P-P type	HMM profile ID	Protein representative ID	P-P score	P-P type score	Sequence score threshold	Neff value	geNomad hit	geNomad annotation	pident (geNomad)	evalue (geNomad)	bitscore (geNomad)	PHROGs hit	PHROGs Annotation	Protein category (PHROGs)	evalue (PHROGs)	cov_profile (PHROGs)	Rep/Par hit	evalue (Rep/Par)	cov_profile (Rep/Par)
N15	N15_pers_JMX78_RS30295	JMX78_RS30295	1	1	211.5	1.1	NA	NA	NA	NA	NA	phrog_3445	toxin	moron, auxiliary metabolic gene and host takeover	2.2e-5	0.971	NA	NA	NA
N15	N15_pers_JW292_RS26580	JW292_RS26580	1	1	221.3	1	GENOMAD.098804.VV	NA	0.618	1.253e-34	128	NA	NA	NA	NA	NA	NA	NA	NA
N15	N15_pers_JW300_RS00845	JW300_RS00845	1	1	132.1	1.1	GENOMAD.191875.VV	NA	0.856	4.194e-27	104	NA	NA	NA	NA	NA	NA	NA	NA
N15	N15_pers_KP980_RS27655	KP980_RS27655	1	1	211.6	1.2	GENOMAD.077928.VV	Phage gp6-like head-tail connector protein	0.829	1.925e-54	185	phrog_40	head-tail adaptor Ad1	connector	3.4e-20	0.517	NA	NA	NA
N15	N15_pers_MS6671_RS29560	MS6671_RS29560	1	1	279.8	1.1	GENOMAD.181890.VP	phage protein, HK97 gp10 family	0.836	1.516e-70	233	phrog_5	tail completion or Neck1 protein	connector	4.6e-27	0.548	NA	NA	NA
N15	N15_pers_N15p19	N15p19	0.887	0.875	527.4	1.1	GENOMAD.168265.VP	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	0.397	9.96e-49	176	phrog_2635	tail protein	tail	9e-64	1.022	NA	NA	NA
N15	N15_pers_SMKP03_RS26070	SMKP03_RS26070	1	1	437.7	1.1	GENOMAD.209479.PV	DNA polymerase III, epsilon subunit or related 3'-5' exonuclease	0.408	4.807e-6	49	NA	NA	NA	NA	NA	NA	NA	NA
N15	N15_pers_SMKP03_RS26225	SMKP03_RS26225	1	1	2403.5	1	GENOMAD.114939.VV	Bacteriophage head-tail adaptor	0.618	0	1347	phrog_339	tail length tape measure protein	tail	6.6e-200	0.996	NA	NA	NA
N15	N15_pers_SMKP03_RS26230	SMKP03_RS26230	1	1	243.9	1.1	GENOMAD.101800.VV	Phage-related protein	0.568	1.815e-34	128	NA	NA	NA	NA	NA	NA	NA	NA
N15	N15_pers_SMKP03_RS26235	SMKP03_RS26235	1	1	536.3	1.2	GENOMAD.108715.VP	Phage minor tail protein L	0.399	5.643e-50	180	phrog_4199	minor tail protein	tail	7.6e-50	0.617	NA	NA	NA
P1_1	P11_pers_A9X72_RS25885	A9X72_RS25885	0.837	0.831	554.9	1	GENOMAD.222877.VP	NA	0.776	1.627e-47	172	phrog_1962	glycosyltransferase	moron, auxiliary metabolic gene and host takeover	5.1e-131	1.013	NA	NA	NA
P1_1	P11_pers_AYN53_RS24250	AYN53_RS24250	0.944	0.937	803.5	1	GENOMAD.223436.VP	Phage protein D	0.398	4.464e-65	228	phrog_1390	tail protein	tail	6.899999999999999e-161	0.997	NA	NA	NA
P1_1	P11_pers_AYR02_RS00330	AYR02_RS00330	0.957	0.949	1070.3	1	GENOMAD.026355.VV	Divergent DnaB-like ATPase	0.287	5.151e-23	106	phrog_19	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism	2.3e-146	0.725	NA	NA	NA
P1_1	P11_pers_BB405_RS27235	BB405_RS27235	0.776	0.771	1238.3	1	GENOMAD.219257.VP	Type VI secretion system, TssC, VipB	0.446	1.084e-128	422	phrog_1036	tail sheath	tail	1.1e-233	0.994	NA	NA	NA
P1_1	P11_pers_C5F72_RS27130	C5F72_RS27130	0.916	0.902	1149.7	1	GENOMAD.219853.VP	Terminase large subunit, ATPase domain	0.731	6.671e-94	319	phrog_2	terminase large subunit	head and packaging	2.5e-46	0.549	NA	NA	NA
P1_1	P11_pers_CA268_RS27000	CA268_RS27000	0.915	0.901	895.9	1	GENOMAD.224662.VP	NA	0.948	2.041e-58	211	phrog_1711	terminase	head and packaging	3.9e-207	0.952	NA	NA	NA
P1_1	P11_pers_CCS91_RS23595	CCS91_RS23595	0.983	0.983	211.8	1	GENOMAD.093341.VV	NA	0.754	2.122e-56	192	phrog_1855	DdrA-like anti-restriction protein	moron, auxiliary metabolic gene and host takeover	4.400000000000001e-59	1.053	NA	NA	NA
P1_1	P11_pers_CDC27_RS27880	CDC27_RS27880	0.983	0.975	636.5	1	GENOMAD.223261.VP	NA	0.728	4.72e-129	410	phrog_2015	tail tube protein	tail	5.1e-151	1.011	NA	NA	NA
P1_1	P11_pers_CDC27_RS28060	CDC27_RS28060	0.902	0.889	322.9	1	GENOMAD.223698.VP	NA	0.785	1.137e-73	243	phrog_1704	Lpa-like transcriptional activator	transcription regulation	1.5e-87	1	NA	NA	NA
P1_1	P11_pers_CDC27_RS28235	CDC27_RS28235	0.945	0.938	598.8	1	GENOMAD.223805.VP	NA	0.835	5.966e-144	452	phrog_1767	baseplate protein	tail	4.299999999999999e-131	0.992	NA	NA	NA
P1_1	P11_pers_CHQ92_RS25335	CHQ92_RS25335	0.944	0.937	628.9	1	GENOMAD.222616.VP	Pyocin large subunit	0.729	6.324e-136	430	NA	NA	NA	NA	NA	RCR_gp_04	1.9e-5	0.784
P1_1	P11_pers_CNQ50_RS26630	CNQ50_RS26630	0.968	0.96	796	1	GENOMAD.222465.VP	NA	0.715	3.101e-155	489	phrog_1801	tail fiber protein	tail	3.2e-187	1	NA	NA	NA
P1_1	P11_pers_CSC22_RS26285	CSC22_RS26285	0.725	0.716	171.9	1	GENOMAD.220953.VP	NA	0.482	8.813e-17	75	NA	NA	NA	NA	NA	NA	NA	NA
P1_1	P11_pers_DV102_RS24730	DV102_RS24730	0.737	0.727	332.6	1	GENOMAD.222093.VP	NA	0.997	7.404e-35	131	phrog_1629	Ulx-like anti-restriction	moron, auxiliary metabolic gene and host takeover	9.3e-69	1.014	NA	NA	NA
P1_1	P11_pers_DV102_RS24790	DV102_RS24790	0.797	0.785	396.1	1	GENOMAD.219599.VP	Recombination enhancement, RecA-dependent nuclease	0.543	6.684e-49	174	phrog_2321	Ref-like RecA filament endonuclease	DNA, RNA and nucleotide metabolism	3.5e-116	0.968	NA	NA	NA
P1_1	P11_pers_DXE50_RS01135	DXE50_RS01135	0.937	0.93	388.7	1	GENOMAD.223557.VP	NA	0.86	1.565e-105	337	phrog_1851	PmgC-like head morphogenesis	head and packaging	3.1e-105	1	NA	NA	NA
P1_1	P11_pers_E1J55_RS24290	E1J55_RS24290	0.983	0.975	328.1	1	GENOMAD.218050.VP	NA	0.788	1.147e-70	234	phrog_2032	tail fiber assembly protein	tail	2.2e-87	0.993	NA	NA	NA
P1_1	P11_pers_E1J55_RS24475	E1J55_RS24475	0.944	0.937	416.6	1	GENOMAD.222755.VP	phage baseplate assembly protein V	0.592	3.5e-73	245	NA	NA	NA	NA	NA	NA	NA	NA
P1_1	P11_pers_E4U64_RS27005	E4U64_RS27005	0.75	0.745	759.4	1	GENOMAD.136199.PV	ParB family	0.557	8.359e-34	136	phrog_1146	ParB-like partition protein	DNA, RNA and nucleotide metabolism	1.6e-145	0.965	parB_big_nr_90_40_FAM2	4.7e-147	1.009
P1_1	P11_pers_E4U64_RS27165	E4U64_RS27165	0.982	0.982	2345.4	1	GENOMAD.208126.VP	NA	0.199	9.922e-16	85	NA	NA	NA	NA	NA	NA	NA	NA
P1_1	P11_pers_E4U64_RS27170	E4U64_RS27170	0.952	0.952	209.8	1	GENOMAD.225254.VP	NA	0.79	1.355e-50	174	NA	NA	NA	NA	NA	NA	NA	NA
P1_1	P11_pers_EOS97_RS25845	EOS97_RS25845	0.936	0.927	761.6	1	GENOMAD.135964.VP	Phage antirepressor protein YoqD, KilAC domain	0.797	8.541e-184	572	phrog_63	anti-repressor Ant	transcription regulation	1.2e-106	0.803	NA	NA	NA
P1_1	P11_pers_EPG46_RS24585	EPG46_RS24585	0.952	0.952	373.7	1	GENOMAD.059795.VV	single stranded DNA-binding protein (ssb)	0.363	4.81e-4	42	phrog_44	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	1.3e-61	0.598	NA	NA	NA
P1_1	P11_pers_EPG46_RS24925	EPG46_RS24925	0.746	0.741	949.9	1	GENOMAD.142203.PV	ParA helix turn helix domain	0.823	1.755e-40	158	phrog_164	ParA-like partition protein	DNA, RNA and nucleotide metabolism	1.5e-149	0.786	parA_big_nr_90_40_FAM3	1.1e-221	0.993
P1_1	P11_pers_FDJ53_gp124	FDJ53_gp124	0.967	0.959	437.9	1	GENOMAD.222681.VP	Defence against restriction A N-terminal; Inorganic Pyrophosphatase	0.484	1.721e-51	182	phrog_1620	Hdf-like antirestriction	moron, auxiliary metabolic gene and host takeover	1.9e-82	1	NA	NA	NA
P1_1	P11_pers_FDP43_RS24720	FDP43_RS24720	0.967	0.959	707.2	1	GENOMAD.223382.VP	T4 bacteriophage base plate protein	0.759	5.237e-144	454	phrog_1854	PmgB-like head morphogenesis	head and packaging	8.199999999999999e-157	1.011	NA	NA	NA
P1_1	P11_pers_FDP43_RS25105	FDP43_RS25105	0.943	0.943	428.1	1	GENOMAD.129114.VP	NA	0.314	1.933e-9	59	phrog_5702	Holliday junction resolvase	DNA, RNA and nucleotide metabolism	1.8e-29	1.014	NA	NA	NA
P1_1	P11_pers_FH485_RS25695	FH485_RS25695	0.764	0.759	435.8	1	NA	NA	NA	NA	NA	phrog_1114	PmgG-like head morphogenesis	head and packaging	2.7e-82	0.838	NA	NA	NA
P1_1	P11_pers_FH485_RS25890	FH485_RS25890	0.952	0.952	435.6	1	GENOMAD.083189.VV	Phage-related lysozyme (muramidase), GH24 family	0.205	3.373e-4	43	phrog_7910	endolysin	lysis	3.7e-21	1.052	NA	NA	NA
P1_1	P11_pers_FNZ59_RS23840	FNZ59_RS23840	0.931	0.924	624.7	1	GENOMAD.135964.VP	Phage antirepressor protein YoqD, KilAC domain	0.537	1.009e-59	209	phrog_63	anti-repressor Ant	transcription regulation	7.8e-71	0.603	NA	NA	NA
P1_1	P11_pers_FNZ59_RS24165	FNZ59_RS24165	0.945	0.945	292	1	GENOMAD.221089.VP	Base plate wedge protein 53	0.67	8.19e-49	170	phrog_1269	baseplate wedge subunit	tail	5.9e-43	0.97	NA	NA	NA
P1_1	P11_pers_FOZ67_RS24825	FOZ67_RS24825	0.768	0.758	212.4	1	GENOMAD.221862.VP	NA	0.727	1.067e-43	154	NA	NA	NA	NA	NA	NA	NA	NA
P1_1	P11_pers_FOZ67_RS24980	FOZ67_RS24980	0.869	0.862	426.1	1	GENOMAD.222512.VP	Kdo-III transferase WaaZ	0.888	1.78e-122	387	phrog_4603	alpha-2;3-sialyltransferase	other	1.2e-7	0.837	NA	NA	NA
P1_1	P11_pers_FPV29_RS24715	FPV29_RS24715	0.942	0.934	695.3	1	NA	NA	NA	NA	NA	phrog_724	exonuclease recombination-associated	DNA, RNA and nucleotide metabolism	8.499999999999999e-138	0.962	NA	NA	NA
P1_1	P11_pers_GIJ02_RS28800	GIJ02_RS28800	0.724	0.715	156.4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P1_1	P11_pers_GJD95_RS01320	GJD95_RS01320	0.875	0.869	215.3	1	GENOMAD.225051.VP	NA	0.959	4.129e-57	192	phrog_2213	nucleoside triphosphate pyrophosphohydrolase	other	1.6e-66	1	NA	NA	NA
P1_1	P11_pers_H0481_RS23110	H0481_RS23110	0.877	0.871	130	1	GENOMAD.224619.VP	NA	0.945	1.075e-26	102	NA	NA	NA	NA	NA	NA	NA	NA
P1_1	P11_pers_H5C80_RS27020	H5C80_RS27020	0.717	0.713	592.4	1	GENOMAD.219878.VP	NA	0.439	5.111e-61	213	phrog_1346	tail protein	tail	4.7e-4	0.795	NA	NA	NA
P1_1	P11_pers_H7R36_RS25885	H7R36_RS25885	0.747	0.742	1334.4	1	GENOMAD.206379.VP	NA	0.524	5.221e-179	570	NA	NA	NA	NA	NA	NA	NA	NA
P1_1	P11_pers_H7U13_gp008	H7U13_gp008	0.764	0.758	451.9	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P1_1	P11_pers_H7U13_gp050	H7U13_gp050	0.472	0.455	141.6	1	GENOMAD.218958.VP	NA	0.908	1.974e-35	128	NA	NA	NA	NA	NA	NA	NA	NA
P1_1	P11_pers_H7U14_gp52	H7U14_gp52	0.804	0.793	302	1	NA	NA	NA	NA	NA	phrog_89	Rz-like spanin	lysis	2.7e-28	0.832	NA	NA	NA
P1_1	P11_pers_HJD21_RS24015	HJD21_RS24015	0.983	0.975	269.3	1	GENOMAD.223537.VP	Baseplate wedge protein gp25	0.705	1.315e-48	169	NA	NA	NA	NA	NA	NA	NA	NA
P1_1	P11_pers_HJD21_RS24195	HJD21_RS24195	0.73	0.721	670.9	1	GENOMAD.220887.VP	NA	0.666	3.563e-117	376	NA	NA	NA	NA	NA	NA	NA	NA
P1_1	P11_pers_HUU84_RS25225	HUU84_RS25225	0.945	0.945	947.6	1	NA	NA	NA	NA	NA	phrog_1722	tail protein	tail	2.799999999999999e-230	0.988	NA	NA	NA
P1_1	P11_pers_HUU84_RS25410	HUU84_RS25410	0.953	0.945	466.5	1	GENOMAD.222607.VP	T4-like virus tail tube protein gp19	0.674	2.379e-91	297	phrog_1842	tail tube protein	tail	2.1e-109	0.995	NA	NA	NA
P1_1	P11_pers_HV010_RS23560	HV010_RS23560	0.976	0.968	1215.6	1	GENOMAD.182303.VP	Bacteriophage T4-like portal protein (Gp20)	0.582	4.055e-204	643	phrog_1497	portal protein	head and packaging	2.3e-263	1.033	NA	NA	NA
P1_1	P11_pers_HVV54_RS23555	HVV54_RS23555	0.818	0.807	823.3	1	GENOMAD.023427.VV	Putative nuclease YbcO	0.236	1.576e-4	46	phrog_96	HNH endonuclease	DNA, RNA and nucleotide metabolism	2.9e-130	1.018	NA	NA	NA
P1_1	P11_pers_HVX91_RS22940	HVX91_RS22940	0.717	0.702	290	1	GENOMAD.221702.VP	NA	0.691	1.047e-56	193	NA	NA	NA	NA	NA	NA	NA	NA
P1_1	P11_pers_HVY57_RS24015	HVY57_RS24015	0.945	0.945	568.1	1	GENOMAD.223653.VP	NA	0.74	2.782e-117	374	phrog_1906	tail protein	tail	7.5e-139	0.988	NA	NA	NA
P1_1	P11_pers_HZT35_RS29440	HZT35_RS29440	0.805	0.8	865.9	1	GENOMAD.222678.VP	NA	0.179	1.692e-11	69	phrog_1660	PmgS-like head morphogenesis	head and packaging	2.2e-198	1.037	NA	NA	NA
P1_1	P11_pers_HZT35_RS29630	HZT35_RS29630	0.976	0.964	190.5	1	GENOMAD.138225.VV	NA	0.9	3.655e-44	154	phrog_15498	membrane protein	moron, auxiliary metabolic gene and host takeover	2.4e-4	0.794	NA	NA	NA
P1_1	P11_pers_IMP41_RS22295	IMP41_RS22295	0.982	0.973	1134.5	1	GENOMAD.143015.VP	putative baseplate assembly protein	0.593	4.774e-173	548	phrog_1369	baseplate protein	tail	8.199999999999999e-226	0.967	NA	NA	NA
P1_1	P11_pers_IMQ20_RS23125	IMQ20_RS23125	0.73	0.721	188.3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P1_1	P11_pers_IMQ22_RS23000	IMQ22_RS23000	0.944	0.944	172.2	1	GENOMAD.162526.VP	phage/conjugal plasmid C-4 type zinc finger protein, TraR family	0.374	7.089e-8	50	phrog_54	DksA-like zinc-finger protein	other	3.4e-15	0.907	NA	NA	NA
P1_1	P11_pers_IMQ30_RS22910	IMQ30_RS22910	0.967	0.96	342.9	1	GENOMAD.224112.VP	LydA-holin antagonist	1	2.149e-98	314	phrog_1898	lysis determining protein	lysis	7.299999999999999e-88	1	NA	NA	NA
P1_1	P11_pers_IMQ58_RS23395	IMQ58_RS23395	0.958	0.95	566.3	1	GENOMAD.162246.VV	NA	0.974	4.561e-217	667	NA	NA	NA	NA	NA	NA	NA	NA
P1_1	P11_pers_IN859_RS24110	IN859_RS24110	0.981	0.972	4404.8	1	GENOMAD.068590.VV	C-terminal domain on Strawberry notch homologue	0.3	8.316e-4	47	phrog_11801	DNA methyltransferase	other	0	0.647	NA	NA	NA
P1_1	P11_pers_IQS19_RS23280	IQS19_RS23280	0.894	0.887	163.6	1.2	GENOMAD.223026.VP	NA	0.962	6.06e-43	150	phrog_1743	transcriptional repressor	transcription regulation	1e-8	0.511	NA	NA	NA
P1_1	P11_pers_IQS19_RS23625	IQS19_RS23625	1	1	581.5	1	GENOMAD.223520.VP	NA	0.781	3.847e-132	418	NA	NA	NA	NA	NA	NA	NA	NA
P1_1	P11_pers_IVP14_RS23255	IVP14_RS23255	0.449	0.41	173.9	1	NA	NA	NA	NA	NA	phrog_375	Phd-like antitoxin	moron, auxiliary metabolic gene and host takeover	6.100000000000001e-22	0.905	NA	NA	NA
P1_1	P11_pers_IVP14_RS23260	IVP14_RS23260	0.91	0.74	288.4	1	GENOMAD.180534.VP	NA	0.261	9.124e-7	49	phrog_811	UmuD-like protein	DNA, RNA and nucleotide metabolism	8.199999999999999e-58	0.879	NA	NA	NA
P1_1	P11_pers_JLH08_RS25770	JLH08_RS25770	0.766	0.761	395.5	1	GENOMAD.220116.VP	NA	0.603	2.306e-58	200	phrog_1120	tail tube protein	tail	1.8e-85	0.994	NA	NA	NA
P1_1	P11_pers_JLH08_RS26095	JLH08_RS26095	0.792	0.786	380.9	1	GENOMAD.061539.VV	Histidinol phosphatase or a related phosphatase	0.231	1.175e-5	47	phrog_415	polynucleotide kinase	other	1.7e-59	0.766	NA	NA	NA
P1_1	P11_pers_JMV89_RS25470	JMV89_RS25470	0.963	0.963	238.7	1	GENOMAD.222727.VP	LydA holin phage, holin superfamily III	0.672	3.868e-41	147	phrog_1527	holin	lysis	8.7e-52	1.009	NA	NA	NA
P1_1	P11_pers_JR341_RS02315	JR341_RS02315	0.983	0.983	1500.4	1	GENOMAD.223384.VP	Defence against restriction A N-terminal	0.941	5.583e-214	675	phrog_1620	Hdf-like antirestriction	moron, auxiliary metabolic gene and host takeover	1.4e-6	0.61	NA	NA	NA
P1_1	P11_pers_JSQ77_RS24065	JSQ77_RS24065	0.736	0.727	808.6	1	NA	NA	NA	NA	NA	phrog_1	integrase	integration and excision	1.6e-34	0.501	NA	NA	NA
P1_1	P11_pers_MS6198_RS27540	MS6198_RS27540	0.467	0.425	264.5	1	NA	NA	NA	NA	NA	phrog_577	Doc-like toxin	moron, auxiliary metabolic gene and host takeover	1.3e-51	0.977	NA	NA	NA
P1_1	P11_pers_P1_gp065	P1_gp065	0.831	0.819	557.5	1	GENOMAD.222938.VP	NA	0.809	1.034e-85	285	NA	NA	NA	NA	NA	NA	NA	NA
P1_1	P11_pers_P1_gp090	P1_gp090	0.864	0.756	476.1	1.1	GENOMAD.083577.VV	bis(5'-nucleosyl)-tetraphosphatase (symmetrical)	0.274	2e-15	78	phrog_246	NinI-like serine-threonine phosphatase	other	3.4e-115	0.547	NA	NA	NA
P1_1	P11_pers_RG50_RS25980	RG50_RS25980	0.991	0.983	2135.9	1.1	GENOMAD.223730.VP	NA	0.461	2.904e-220	722	phrog_13449	transglycosylase	other	2.3e-60	0.874	NA	NA	NA
P1_2	P12_pers_AM365_RS27915	AM365_RS27915	0.952	0.952	1346.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_AM365_RS27920	AM365_RS27920	0.962	0.962	598.6	1.1	GENOMAD.178342.VP	DNA adenine methylase (dam)	0.51	9.347e-78	263	phrog_1996	DNA methyltransferase	other	1.3e-18	0.947	NA	NA	NA
P1_2	P12_pers_AM365_RS28130	AM365_RS28130	0.958	0.92	588.9	1.1	GENOMAD.223520.VP	NA	0.769	1.576e-135	428	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_AYN27_RS31475	AYN27_RS31475	0.96	0.96	339.9	1	GENOMAD.218050.VP	NA	0.725	2.038e-66	222	phrog_2032	tail fiber assembly protein	tail	3.7e-77	0.986	NA	NA	NA
P1_2	P12_pers_C6651_RS26975	C6651_RS26975	0.727	0.194	292.9	1.1	GENOMAD.180534.VP	NA	0.261	9.124e-7	49	phrog_811	UmuD-like protein	DNA, RNA and nucleotide metabolism	1.7e-57	0.879	NA	NA	NA
P1_2	P12_pers_C6651_RS27140	C6651_RS27140	0.962	0.962	242.1	1	GENOMAD.221495.VP	NA	0.874	7.031e-59	198	phrog_1269	baseplate wedge subunit	tail	5.4e-39	0.98	NA	NA	NA
P1_2	P12_pers_C6N27_RS29220	C6N27_RS29220	0.962	0.962	785.3	1.1	NA	NA	NA	NA	NA	phrog_216	integrase	integration and excision	3.1e-13	0.797	NA	NA	NA
P1_2	P12_pers_C6N27_RS29520	C6N27_RS29520	0.964	0.964	309	1.1	GENOMAD.135906.VV	NA	0.902	4.536e-48	170	phrog_214	Rz-like spanin	lysis	5.5e-19	0.892	NA	NA	NA
P1_2	P12_pers_C6N27_RS29530	C6N27_RS29530	0.941	0.889	297.4	1	GENOMAD.132166.VV	NA	0.373	1.714e-18	83	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_C6N27_RS30425	C6N27_RS30425	0.962	0.962	733.3	1.1	GENOMAD.220887.VP	NA	0.746	2.785e-168	527	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_CRG85_RS25955	CRG85_RS25955	0.962	0.926	179.4	1.1	GENOMAD.225019.VP	NA	0.914	2.04e-39	140	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_CRG85_RS26115	CRG85_RS26115	0.964	0.964	180.3	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_D5068_RS24730	D5068_RS24730	0.964	0.964	725.9	1	GENOMAD.167146.PV	NA	0.505	3.208e-5	48	phrog_691	partition protein	DNA, RNA and nucleotide metabolism	5e-79	0.967	parM3_PF_nr_90	2.1e-140	0.981
P1_2	P12_pers_D5068_RS24735	D5068_RS24735	0.962	0.926	239.3	1	GENOMAD.161320.PV	Plasmid stability protein	0.699	1.995e-49	171	phrog_8671	partition protein	DNA, RNA and nucleotide metabolism	1.7e-62	0.918	parR3_PF_nr_90	3e-17	0.857
P1_2	P12_pers_D5068_RS24745	D5068_RS24745	0.955	0.913	208.7	1	GENOMAD.219028.PV	NA	0.929	1.182e-54	185	phrog_3431	Arc-like repressor	transcription regulation	1.1e-6	0.627	NA	NA	NA
P1_2	P12_pers_D5069_RS24165	D5069_RS24165	0.159	0.105	274	1.1	NA	NA	NA	NA	NA	phrog_577	Doc-like toxin	moron, auxiliary metabolic gene and host takeover	1.7e-51	0.977	NA	NA	NA
P1_2	P12_pers_D5069_RS24170	D5069_RS24170	0.143	0.084	175.3	1	NA	NA	NA	NA	NA	phrog_375	Phd-like antitoxin	moron, auxiliary metabolic gene and host takeover	7.200000000000001e-22	0.905	NA	NA	NA
P1_2	P12_pers_D5069_RS24330	D5069_RS24330	0.95	0.905	257.3	1	NA	NA	NA	NA	NA	phrog_2339	HTH DNA binding protein	DNA, RNA and nucleotide metabolism	1.3e-5	0.612	NA	NA	NA
P1_2	P12_pers_D5069_RS24335	D5069_RS24335	0.95	0.905	234.6	1	NA	NA	NA	NA	NA	phrog_3066	toxin of TA system	moron, auxiliary metabolic gene and host takeover	8.9e-40	1.011	NA	NA	NA
P1_2	P12_pers_D5069_RS24340	D5069_RS24340	0.958	0.92	613.4	1	GENOMAD.223653.VP	NA	0.717	2.699e-119	381	phrog_1906	tail protein	tail	6.9e-119	1.073	NA	NA	NA
P1_2	P12_pers_D5069_RS24505	D5069_RS24505	0.963	0.929	1312	1	GENOMAD.182303.VP	Bacteriophage T4-like portal protein (Gp20)	0.58	7.914e-199	627	phrog_1497	portal protein	head and packaging	1.6e-232	1.02	NA	NA	NA
P1_2	P12_pers_D6D39_RS24595	D6D39_RS24595	0.957	0.88	195.8	1.1	GENOMAD.132289.VV	NA	0.875	8.499e-46	159	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_D6D39_RS24600	D6D39_RS24600	0.962	0.926	327.1	1.1	GENOMAD.221657.VP	NA	0.68	4.049e-57	195	phrog_1629	Ulx-like anti-restriction	moron, auxiliary metabolic gene and host takeover	5.7e-62	1.029	NA	NA	NA
P1_2	P12_pers_D6D39_RS24605	D6D39_RS24605	0.958	0.92	5382.5	1	NA	NA	NA	NA	NA	phrog_11801	DNA methyltransferase	other	0	0.649	NA	NA	NA
P1_2	P12_pers_D6D39_RS24940	D6D39_RS24940	0.962	0.962	408.8	1.1	GENOMAD.219599.VP	Recombination enhancement, RecA-dependent nuclease	0.472	3.771e-46	166	phrog_2321	Ref-like RecA filament endonuclease	DNA, RNA and nucleotide metabolism	5.3e-85	1.027	NA	NA	NA
P1_2	P12_pers_D9N32_RS00550	D9N32_RS00550	0.96	0.923	158.3	1.1	GENOMAD.130385.VV	NA	1	1e-41	146	phrog_643	transcriptional regulator	transcription regulation	3.8e-4	0.762	NA	NA	NA
P1_2	P12_pers_DBR03_RS00180	DBR03_RS00180	0.962	0.926	762.1	1	GENOMAD.222465.VP	NA	0.716	1.339e-152	481	phrog_1801	tail fiber protein	tail	2.1e-159	0.976	NA	NA	NA
P1_2	P12_pers_DBR03_RS00190	DBR03_RS00190	0.962	0.926	188.6	1	GENOMAD.223026.VP	NA	0.799	7.312e-34	124	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_DBR03_RS00535	DBR03_RS00535	0.96	0.923	467.5	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_DBR04_RS01805	DBR04_RS01805	0.893	0.5	190.4	1.1	GENOMAD.073757.VV	NA	0.625	3.372e-29	112	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_DI496_RS00065	DI496_RS00065	0.963	0.963	501.3	1.1	GENOMAD.222607.VP	T4-like virus tail tube protein gp19	0.775	1.84e-118	377	phrog_1842	tail tube protein	tail	3.2e-101	1.005	NA	NA	NA
P1_2	P12_pers_DI496_RS26160	DI496_RS26160	0.952	0.909	303.4	1	GENOMAD.157832.VV	NA	0.963	4.476e-82	266	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_EL381_RS28140	EL381_RS28140	0.958	0.958	366.3	1	GENOMAD.226361.VP	RNA polymerase Rpc34 subunit	0.859	9.555e-88	284	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_EL381_RS28145	EL381_RS28145	0.735	0.735	360.2	1.1	GENOMAD.106245.VV	deoxyuridine 5'-triphosphate nucleotidohydrolase (dut)	0.387	9.734e-22	94	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_EL381_RS28305	EL381_RS28305	0.95	0.95	691.4	1.2	GENOMAD.207551.VP	Phage regulatory protein Rha	0.731	2.672e-108	352	phrog_63	anti-repressor Ant	transcription regulation	2.1e-65	0.724	NA	NA	NA
P1_2	P12_pers_EL381_RS28455	EL381_RS28455	0.962	0.962	556	1	GENOMAD.220228.VP	NA	0.57	2.133e-68	233	NA	NA	NA	NA	NA	NA	NA	NA
P1_2	P12_pers_GUU84_RS22690	GUU84_RS22690	0.962	0.893	366.8	1	GENOMAD.123499.VV	NA	0.384	2.441e-18	84	phrog_21357	endolysin	lysis	1.4e-8	0.52	NA	NA	NA
P1_2	P12_pers_GUU84_RS22860	GUU84_RS22860	0.962	0.962	1290.6	1	GENOMAD.219257.VP	Type VI secretion system, TssC, VipB	0.383	5.493e-104	351	phrog_1036	tail sheath	tail	7.8e-200	1.04	NA	NA	NA
